kidx  bank     ksize   kexp | DPid  dpsize  dpexp  dpname              | match  | evidence
324   all      560     9    | 324   560     9      objects/324_curve       | IDENT  | 
325   all      13888   7    | 325   13888   7      objects/325_trigger     | 18.0   | 
326   all      592     7    | 326   592     7                              | IDENT  | 
327   all      864     7    | 327   864     7      objects/327             | IDENT  | 
328   all      2512    7    | 328   2512    7                              | 8.0    | 
329   all      1296    7    | 329   1296    7                              | 8.0    | 
330   all      1840    7    | 330   1840    7      objects/330_CampFire    | 8.0    | 
331   all      9040    7    | 331   9040    7      objects/331_genprops    | 18.0   | 
332   all      3600    7    | 332   3600    7      objects/332_FXEmit      | 8.0    | 
333   all      976     7    | 333   976     7                              | 8.0    | 
334   all      3728    7    | 334   3728    7      objects/334_Transporter | 8.0    | 
335   all      3136    7    | 335   3136    7                              | 8.0    | 
336   all      736     7    | 336   736     7      objects/336_FirePole    | 8.0    | 
337   all      2032    7    | 337   2032    7                              | 8.0    | 
338   all      2096    9    | 338   2096    9                              | 8.0    | 
339   all      496     7    | 339   496     7      objects/339             | IDENT  | 
340   all      4048    7    | 340   4048    7                              | 8.0    | 
341   all      928     7    | 341   928     7      objects/341_DoorOpen    | 8.0    | 
342   all      1840    7    | 342   1840    7                              | 8.0    | 
343   all      848     7    | 343   848     7      objects/343_LightPole   | IDENT  | 
344   all      2064    8    | 344   1904    8      objects/344_SpellOverlay| 7.4    | 
345   all      1040    7    | 345   1040    7      objects/345_WaterFallSpr| 8.0    | 
346   all      304     7    | 346   304     7      objects/346_animator    | IDENT  | 
347   all      1408    8    | 347   1408    8      objects/347_texscroll2  | 8.0    | 
348   all      1904    7    | 348   1904    7      objects/348_texscroll   | 8.0    | 
349   all      5040    10   | 349   5040    10                             | 8.0    | 
350   all      3968    7    | 350   3968    7                              | 8.0    | 
351   all      3920    10   | 351   3920    10     objects/351_GroundAnimat| 8.0    | 
352   all      5696    7    | 352   5696    7                              | 8.0    | 
353   all      1328    7    | 353   1312    7      objects/353_HitAnimator | 7.9    | 
354   all      976     7    | 354   976     7      objects/354_VisAnimator | 8.0    | 
355   all      3376    10   | 355   3376    10     objects/355_WallAnimator| 8.0    | 
356   all      7408    7    | 356   7408    7                              | 8.0    | 
357   all      992     7    | 357   992     7      objects/357_ExplodeAnima| 8.0    | 
358   all      3952    7    | 358   3952    7                              | 8.0    | 
359   all      1776    7    | 359   1776    7                              | 8.0    | 
360   all      3328    7    | 360   3328    7                              | 18.0   | 
361   all      1072    7    | 361   1072    7      objects/361_TexFrameAnim| 8.0    | 
362   all      1424    7    | 362   1424    7      objects/362_portaltexani| 8.0    | 
363   all      368     7    | 363   368     7      objects/363_FElevControl| 8.0    | 
364   all      1696    7    | 364   1696    7      objects/364_FEseqobject | 8.0    | 
365   all      368     7    | 365   368     7      objects/365             | IDENT  | 
366   all      1184    7    | 366   1184    7                              | 18.0   | 
367   all      4304    7    | 367   4304    7                              | 8.0    | 
368   all      1872    7    | 368   1872    7                              | 8.0    | 
369   all      12240   8    | 369   12224   8                              | 15.8   | 
370   all      4128    7    | 370   4224    7                              | 7.8    | 
371   all      1552    7    | 371   1552    7                              | 8.0    | 
372   all      5104    7    | 372   5104    7                              | 8.0    | 
373   all      9488    9    | 373   9312    9                              | 16.0   | 
374   all      3024    7    | 374   3024    7                              | 8.0    | 
375   all      2896    7    | 375   2896    7                              | 18.0   | 
376   all      2912    7    | 376   2912    7      objects/376_CFPrisonUncl| 8.0    | 
377   all      1680    7    | 377   1680    7                              | 18.0   | 
378   all      592     7    | 378   592     7      objects/378_CFScalesGall| IDENT  | 
379   all      304     7    | 379   304     7      objects/379_CF_ObjCreato| IDENT  | 
380   all      15488   7    | 380   15488   7                              | 18.0   | 
381   all      14560   7    | 381   14432   7                              | 11.9   | 
382   all      448     7    | 382   448     7      objects/382_CFIllusionCl| 8.0    | 
383   all      640     7    | 383   640     7                              | 8.0    | 
384   all      1232    7    | 384   1232    7                              | 8.0    | 
385   all      432     7    | 385   432     7      objects/385             | 8.0    | 
386   all      1360    7    | 386   1280    7                              | 7.5    | 
387   all      896     7    | 387   896     7                              | 8.0    | 
388   all      7648    8    | 388   7280    8      objects/388_CFbarrel    | 17.6   | 
389   all      1696    7    | 389   1664    7                              | 17.8   | 
390   all      4336    7    | 390   5088    7                              | 16.8   | 
391   all      2112    7    | 391   2112    7                              | 8.0    | 
392   all      3936    7    | 392   3872    7                              | 7.9    | 
393   all      1376    7    | 393   1424    7      objects/393_CFMainSlideD| 7.7    | 
394   all      1344    7    | 394   1488    7                              | 7.2    | 
395   all      784     9    | 395   784     9      objects/395_CFAttractor | 8.0    | 
396   all      3744    10   | 396   3744    10     objects/396_CFSupTreasur| 18.0   | 
397   all      8288    7    | 397   8128    7                              | 17.8   | 
398   all      1312    7    | 398   1312    7      objects/398_CFMagicWall | 8.0    | 
399   all      1728    7    | 399   1728    7                              | 8.0    | 
400   all      6000    7    | 400   6000    7      objects/400_CFLevelContr| 18.0   | 
401   all      6256    7    | 401   6224    7                              | 18.0   | 
402   all      3440    7    | 402   3424    7                              | 18.0   | 
403   all      1376    7    | 403   1376    7                              | 8.0    | 
404   all      2832    8    | 404   2832    8                              | 8.0    | 
405   all      1808    7    | 405   1808    7      objects/405_CF_Lamp     | 8.0    | 
406   all      1008    7    | 406   1008    7                              | 18.0   | 
407   all      2848    7    | 407   2848    7                              | 18.0   | 
408   all      3408    7    | 408   3408    7      objects/408_IMIceMountai| 8.0    | 
