path	US10_size
gametext/Sequences/60_Japanese.bin	3860
gametext/Sequences/60_Spanish.bin	2664
gametext/Sequences/613_English.bin	2556
gametext/Sequences/613_French.bin	2336
gametext/Sequences/613_German.bin	2828
gametext/Sequences/613_Italian.bin	2416
gametext/Sequences/613_Japanese.bin	12808
gametext/Sequences/613_Spanish.bin	2976
gametext/Sequences/61_English.bin	2340
gametext/Sequences/61_French.bin	2120
gametext/Sequences/61_German.bin	2348
gametext/Sequences/61_Italian.bin	2044
gametext/Sequences/61_Japanese.bin	12960
gametext/Sequences/61_Spanish.bin	3216
gametext/Sequences/63_English.bin	4560
gametext/Sequences/63_French.bin	6284
gametext/Sequences/63_German.bin	5324
gametext/Sequences/63_Italian.bin	4648
gametext/Sequences/63_Japanese.bin	24764
gametext/Sequences/63_Spanish.bin	4344
gametext/Sequences/648_English.bin	4008
gametext/Sequences/648_French.bin	3944
gametext/Sequences/648_German.bin	4616
gametext/Sequences/648_Italian.bin	4108
gametext/Sequences/648_Japanese.bin	19688
gametext/Sequences/648_Spanish.bin	4628
gametext/Sequences/649_English.bin	2096
gametext/Sequences/649_French.bin	2408
gametext/Sequences/649_German.bin	2184
gametext/Sequences/649_Italian.bin	2404
gametext/Sequences/649_Japanese.bin	12796
gametext/Sequences/649_Spanish.bin	2248
gametext/Sequences/650_English.bin	2028
gametext/Sequences/650_French.bin	2208
gametext/Sequences/650_German.bin	2316
gametext/Sequences/650_Italian.bin	2180
gametext/Sequences/650_Japanese.bin	4804
gametext/Sequences/650_Spanish.bin	2132
gametext/Sequences/652_English.bin	2592
gametext/Sequences/652_French.bin	3164
gametext/Sequences/652_German.bin	2764
gametext/Sequences/652_Italian.bin	2204
gametext/Sequences/652_Japanese.bin	12832
gametext/Sequences/652_Spanish.bin	2208
gametext/Sequences/654_English.bin	3268
gametext/Sequences/654_French.bin	3164
gametext/Sequences/654_German.bin	3744
gametext/Sequences/654_Italian.bin	2736
gametext/Sequences/654_Japanese.bin	5228
gametext/Sequences/654_Spanish.bin	3376
gametext/Sequences/663_German.bin	8020
gametext/Sequences/663_Italian.bin	6028
